epochs,MAE,MRSTFT
31,0.15079308,1.1462564393877983
32,0.023424413,0.17862869147211313
33,0.14207993,0.9803465306758881
34,0.10579512,0.7371155843138695
35,0.14065583,1.5537163838744164
36,0.047896545,0.40821744315326214
37,0.103278704,0.8880304023623466
38,0.1487851,1.3035481348633766
39,0.100803636,0.8241555765271187
40,0.11582806,0.4459143318235874
41,0.074758716,0.6745160110294819
42,0.11371522,0.653616052120924
43,0.06491855,0.5573177486658096
44,0.016918054,0.1750067751854658
45,0.07729331,0.3200775757431984
46,0.06978879,0.4900466054677963
47,0.036028516,0.1815123539417982
48,0.106035866,0.9345977231860161
49,0.103425816,0.9491553381085396
50,0.08596301,0.8596042096614838
51,0.05075163,0.3634393438696861
52,0.09299832,0.534958016127348
53,0.040081464,0.13445796445012093
54,0.096997656,0.8999796360731125
55,0.0098420475,0.08032795786857605
56,0.059571348,0.42837463691830635
57,0.033426493,0.30095354095101357
58,0.016245697,0.07957950793206692
59,0.025727792,0.16622518002986908
60,0.10832625,0.802974920719862
61,0.21486753,1.8906254693865776
62,0.09342631,0.9434593394398689
63,0.113289356,0.8672622814774513
64,0.19158606,1.9088032990694046
65,0.027814852,0.1832429077476263
66,0.09694069,0.8094737231731415
67,0.102821395,0.9565336480736732
68,0.13032624,0.8966763019561768
69,0.16360144,1.3024457097053528
70,0.023076748,0.06789615144953132
71,0.097865164,0.7537127062678337
72,0.053106274,0.4703301899135113
73,0.0153390765,0.09833564981818199
74,0.10283679,0.8928999342024326
75,0.06910982,0.5375581793487072
76,0.053539,0.4257101435214281
77,0.15968065,0.9926232621073723
78,0.14438197,1.0891928672790527
79,0.007652537,0.08181427977979183
80,0.26184356,1.8649781793355942
81,0.09330602,0.5891256295144558
82,0.094567575,0.5912965424358845
83,0.16211632,1.4958766251802444
84,0.11449913,0.5471523255109787
85,0.052173797,0.4112569987773895
86,0.11042504,0.6934950426220894
87,0.07481274,0.5560164041817188
88,0.08481493,0.6578775756061077
89,0.005387507,0.01764440629631281
90,0.10304313,0.821872815489769
91,0.12927555,1.2513596192002296
92,0.0061646043,0.05208317656069994
93,0.14165857,1.2238256633281708
94,0.080345996,0.7579872086644173
95,0.06660806,0.48763681575655937
96,0.12465062,0.7404538840055466
97,0.08845302,0.7877020984888077
98,0.10316345,0.600354939699173
99,0.21162316,1.7344286441802979
100,0.12350718,1.0344992876052856
101,0.033389673,0.35363634396344423
102,0.13153897,0.9032955542206764
103,0.09011383,0.781041007488966
104,0.077073045,0.6485680118203163
105,0.14287858,1.1864735409617424
106,0.05276596,0.44827429205179214
107,0.060327727,0.5265279114246368
108,0.08772536,0.5507665909826756
109,0.069660075,0.4718792364001274
110,0.007085855,0.05800954531878233
111,0.19189446,1.3047831654548645
112,0.03756546,0.1276835510507226
113,0.11123101,1.0653297007083893
114,0.18024781,1.4283713102340698
115,0.11931499,0.9146009683609009
116,0.056134593,0.4238465651869774
117,0.19215466,0.7798548862338066
118,0.121318966,1.0537184998393059
119,0.1306856,1.368682637810707
120,0.1091493,0.8972284607589245
121,0.005817466,0.04747242107987404
122,0.120576605,0.5777370482683182
123,0.088403165,0.6034053452312946
124,0.04910187,0.47299646586179733
125,0.027441999,0.11814013589173555
126,0.18682626,1.682289220392704
127,0.15033,1.2644568979740143
128,0.0954379,0.6712344139814377
129,0.12412474,0.7283341139554977
130,0.058511626,0.3839654363691807
131,0.062050592,0.4321638494729996
132,0.18843836,0.7832963615655899
133,0.091041006,0.7355073131620884
134,0.015534203,0.1597705725580454
135,0.14862426,1.1239431947469711
136,0.10706166,0.7940743118524551
137,0.10701178,0.7778457403182983
138,0.16021393,1.3408716022968292
139,0.14150137,1.2452180683612823
140,0.034156155,0.24089208897203207
141,0.01625196,0.1289243521168828
142,0.09338665,0.8253934234380722
143,0.10079234,0.8330651000142097
144,0.18685158,1.4509534016251564
145,0.07880351,0.5152237080037594
146,0.12260659,1.106270357966423
147,0.1529065,1.1826549917459488
148,0.15439416,1.4221590012311935
149,0.09836296,0.8592692129313946
150,0.10204949,0.7445023246109486
151,0.08036521,0.4759203679859638
152,0.097629435,0.7345134168863297
153,0.054263953,0.39150927029550076
154,0.063355416,0.17520055547356606
155,0.12216391,1.1330541670322418
156,0.15320668,0.6847683526575565
157,0.13447404,1.218730702996254
