epochs,MAE,MRSTFT
332,0.014494999,0.087720295
333,0.019991605,0.140117039
334,0.008879684,0.046826206
335,0.007065412,0.046243029
336,0.001390576,0.011785974
337,0.015274581,0.114754101
338,0.014800163,0.103017009
339,0.012225616,0.079620329
340,0.011848316,0.084632779
341,0.007519008,0.056232666
342,0.023869455,0.179014515
343,0.010526446,0.097187132
344,0.026301272,0.161524532
345,0.006252024,0.054706932
346,0.019365376,0.138144962
347,0.006477151,0.04207712
348,0.014014496,0.13077977
349,0.005910763,0.052249391
350,0.03245452,0.189016001
351,0.013446236,0.085325617
352,0.012122018,0.093076158
353,0.005219757,0.038625138
354,0.014701632,0.107918968
355,0.019314928,0.140707688
356,0.012740345,0.109359058
357,0.023068033,0.177333301
358,0.018745698,0.153510598
359,0.004155322,0.035551179
360,0.007393112,0.049446054
361,0.014891608,0.103349318
362,0.013424985,0.104179883
363,0.004489312,0.039792916
364,0.003884255,0.038670083
365,0.019738756,0.159320747
366,0.020229336,0.155821762
367,0.006564661,0.061616462
368,0.024634372,0.195209587
369,0.034304734,0.273610594
370,0.015638005,0.132915757
371,0.019060437,0.153285419
372,0.012592855,0.087073447
373,0.005654875,0.039661447
374,0.007870856,0.060999123
375,0.015062073,0.130799765
376,0.007443782,0.063978232
377,0.007694759,0.064170743
378,0.00591565,0.043989629
379,0.009386273,0.090005775
380,0.007515834,0.069742533
381,0.020145677,0.149782262
382,0.004353598,0.021565974
383,0.006203713,0.037910783
384,0.006844212,0.056385402
385,0.006023316,0.039872105
386,0.018483348,0.105933585
387,0.016312512,0.081494634
388,0.01258928,0.093025686
389,0.013994714,0.101140676
390,0.004834517,0.044384265
391,0.020936467,0.12748622
392,0.013143298,0.102337091
393,0.006169552,0.037991571
394,0.012968965,0.08356288
395,0.009267028,0.074697314
396,0.003474578,0.028490348
397,0.020822156,0.147285943
398,0.009531281,0.06542523
399,0.009921757,0.074753228
400,0.014447442,0.032843713
401,0.024161847,0.226470022
402,0.020916533,0.17552065
403,0.024683716,0.186493525
404,0.010079274,0.07253588
405,0.008585868,0.067538756
406,0.02400378,0.198119336
407,0.004375929,0.028812791
408,0.013012859,0.080468697
409,0.016028332,0.109096648
410,0.024302566,0.159258143
411,0.017011294,0.120847848
412,0.016726356,0.141115772
413,0.011096434,0.079539092
414,0.011189338,0.098274644
415,0.016872607,0.115650406
416,0.011199058,0.100734511
417,0.012648396,0.091246881
418,0.014057324,0.101455183
419,0.00570048,0.038080979
420,0.013387851,0.107567553
421,0.005941231,0.053611679
422,0.005759506,0.053628874
423,0.001992242,0.009343243
424,0.004006055,0.035203051
425,0.005570506,0.047157188
426,0.009314661,0.086908445
427,0.010543816,0.092635999
428,0.0109886,0.067273447
429,0.008830497,0.057496275
430,0.004509041,0.025830969
431,0.006551535,0.05377596
432,0.007307452,0.052615461
433,0.006926119,0.056457425
434,0.003199988,0.019129774
435,0.010272956,0.092197143
436,0.009582832,0.052133711
437,0.008605273,0.075964303
438,0.003002185,0.025378338
439,0.00657862,0.031543994
440,0.008953926,0.067658376
441,0.006234806,0.061247103
442,0.010622327,0.094495868
443,0.006971984,0.04289727
444,0.002663286,0.007418877
445,0.008938894,0.075579464
446,0.00573804,0.030959007
447,0.013337701,0.097899978
448,0.002118227,0.018500087
449,0.007598328,0.063628212
450,0.007756441,0.071171842
451,0.005204305,0.045346343
452,0.002648389,0.025073794
453,0.00736754,0.066059927
454,0.006847153,0.056867911
455,0.005739099,0.054247057
456,0.004010962,0.035611399
457,0.012601592,0.107969444
458,0.006846956,0.064972817
459,0.004544339,0.047217298
460,0.00271722,0.02816143
461,0.002555978,0.022250067
462,0.006319278,0.065148525
463,0.005091095,0.048058373
464,0.012318838,0.090564078
465,0.005825082,0.052079443
466,0.002960647,0.027498255
467,0.002072077,0.015493689
468,0.003009076,0.023703358
469,0.008219224,0.069741892
470,0.004867699,0.040626548
471,0.005266586,0.050371409
472,0.003030368,0.018722777
473,0.004962546,0.044530741
474,0.000903146,0.004652326
475,0.002264459,0.016207015
476,0.00360024,0.027015971
477,0.00702936,0.064356707
478,0.001776217,0.016203557
479,0.001779217,0.004424288
480,0.005402359,0.037466265
481,0.010417148,0.097239266
482,0.003699411,0.020557898
483,0.004109819,0.037148571
484,0.00328987,0.022849755
485,0.001518213,0.013961567
486,0.002337192,0.021160929
487,0.004462197,0.038400207
488,0.001206127,0.006744356
489,0.00399525,0.030726612
490,0.00938854,0.088297989
491,0.00505509,0.052296501
492,0.005411863,0.042080467
493,0.004119346,0.023684138
494,0.002242093,0.011578952
495,0.003964271,0.034461255
496,0.011820331,0.086536257
497,0.003844655,0.021594498
498,0.005667638,0.050468841
499,0.006733702,0.060679704
500,0.006160815,0.041433284
501,0.017666424,0.164735454
